,all_frac,best_frac,best_match,best_match_dk,entropy,idx,n_matches,top_occurence,w
152,0.8664014974262986,0.5969692084475254,Education,undervis_folkeskole_ungdomsuddan,1.3097602887885411,327,6203,4274,enkelte
153,1.2220338983050847,0.6089527027027027,Social policy,fattig_socialt udsat_socialminis_svageste,1.296314681004439,1467,1184,590,bryde
154,0.08856829802775748,0.20216756982075865,Foreign affairs,udenrig_ forsvaret _militær,2.3342859780880865,1938,2399,5476,stig
155,1.6983744732089103,0.7663678348274925,Crime,kriminal_kriminel,1.0181587746033074,111,7362,3322,sætte
156,0.4387315672713037,0.41025015253203173,Employment, beskæftig,2.0494052397684484,480,8195,7663,pia
157,0.5611197074131383,0.4641070389761489,Employment, beskæftig,1.9463569231603697,708,8595,7109,olsen
158,0.4166666666666667,0.3826311263972485,Employment, beskæftig,2.1035086291343243,1323,6978,6408,dyhr
159,0.8633243807818561,0.3165554218185797,Science,forskning_ universitet_videregående udd,1.8107843066589617,202,18278,6702,muligheder
160,0.8264164561530134,0.49025904517234,Crime,kriminal_kriminel,1.555815867511601,2171,4671,2771,mai
161,0.6524010947997014,0.5668576370122149,Crime,kriminal_kriminel,1.583194422697396,34,9251,8038,uden
162,0.8975979772439949,0.4760536398467433,Environment, klima_ miljø _ naturen ,1.5920183975833,1916,10440,5537,stoffer
163,0.43801458480357564,0.4396694214876033,Crime,kriminal_kriminel,1.891451569306586,2226,4235,4251,ryge
164,5.263233190271817,0.9892444205431568,Education,undervis_folkeskole_ungdomsuddan,0.07075147024641969,3178,3719,699,børnehaver
165,4.218508997429306,0.9808726838015541,Education,undervis_folkeskole_ungdomsuddan,0.12193469479061146,1139,1673,389,institutioner
166,0.18589360430364615,0.3797313797313797,Religion, religi_ værdipol,2.033357730754075,578,819,1673,hjemme
167,0.4468607506138197,0.26442507264425075,Foreign affairs,udenrig_ forsvaret _militær,2.0384700616245977,8,14454,8553,danske
168,0.3872278664731495,0.5141645789169397,Employment, beskæftig,1.4466710470958517,1188,5189,6890,3f
169,0.13869554008765145,0.3095512082853855,Economy, økonom_ vækst,1.927037426265115,151,1738,3879,forhold
170,7.174932812118251,0.9844127111826226,Education,undervis_folkeskole_ungdomsuddan,0.09107408310216357,650,29832,4093,lange
175,3.0399597527669973,0.8303494307027875,Foreign affairs,udenrig_ forsvaret _militær,0.7340167800689994,193,25470,6957,indsats
177,0.3797709923664122,0.40447154471544716,Crime,kriminal_kriminel,1.8234077575926635,740,492,524,ender
178,1.9106382978723404,0.4371957156767283,Crime,kriminal_kriminel,1.2533223989074647,1994,1027,235,forebyggelse
179,0.09808219178082192,0.38870792616720956,Culture,kunst _musik_museum_kulturpol,1.4044790929456021,1780,921,3650,søn
181,0.9024390243902439,0.34142787761049054,Education,undervis_folkeskole_ungdomsuddan,1.396722559346563,2499,2059,779,børnefamilier
183,2.720345963756178,0.6396165206023338,Education,undervis_folkeskole_ungdomsuddan,1.2417248898606026,239,20653,4856,krav
184,0.9503405221339387,0.6301034807149577,Religion, religi_ værdipol,1.4727122461990876,283,5315,3524,leve
185,1.803718378543127,0.7545582047685835,Education,undervis_folkeskole_ungdomsuddan,1.16443967024393,2540,7843,3281,ellen
186,1.3943329397874853,0.5610451306413302,Social policy,fattig_socialt udsat_socialminis_svageste,1.2193715692237013,924,2105,847,tilbud
187,2.0828282828282827,0.6300030553009471,Social policy,fattig_socialt udsat_socialminis_svageste,0.9711542806266884,2285,3273,990,sårbare
188,0.24489795918367346,0.32,Health, sundhed,1.6598609084298352,1364,75,98,ift
189,1.5304568527918783,0.5312775330396475,Education,undervis_folkeskole_ungdomsuddan,1.2967485529806337,2251,1135,394,unges
190,0.7617340843147294,0.357669498317038,Employment, beskæftig,1.7287558150298403,54,12478,5859,giver
191,0.4645303326810176,0.3302034428794992,Employment, beskæftig,1.6399789855720843,119,5751,4088,mulighed
192,1.689092470655597,0.475614671503426,Religion, religi_ værdipol,1.0824095501197724,568,12405,3493,baggrund
193,4.435078909612626,0.8461064732448337,Health, sundhed,0.6230737728661604,534,29228,5576,gratis
197,0.19969486353619256,0.3451508936419572,EU, EU _ eu,1.942629320838569,275,3413,5899,problemer
198,0.32420023696682465,0.26459567267013173,Social policy,fattig_socialt udsat_socialminis_svageste,1.959155233533845,95,8273,6752,handler
199,2.5429788332472896,0.8637120813606873,Foreign affairs,udenrig_ forsvaret _militær,0.6291563815205565,157,22812,7748,støtte
200,1.5899403239556693,0.63306177868296,Social policy,fattig_socialt udsat_socialminis_svageste,1.237063065858874,2281,2946,1173,handicap
201,0.1765367316341829,0.4468690702087287,Culture,kunst _musik_museum_kulturpol,1.899832232551029,1394,1054,2668,ferie
202,0.6540596807772381,0.7447649150533386,Taxes,skat,1.0871920366540517,819,2531,2882,ansvaret
204,1.6,0.7619047619047619,Education,undervis_folkeskole_ungdomsuddan,0.5488743844849944,2767,21,10,institution
205,1.2928802588996764,0.6843006785690757,Employment, beskæftig,1.2870775438816848,52,15179,8034,folk
206,0.5213227592398624,0.8001837390904915,Foreign affairs,udenrig_ forsvaret _militær,0.9253830540725457,96,4354,6683,kæmpe
208,0.07227082540890073,0.17723880597014927,Education,undervis_folkeskole_ungdomsuddan,2.4073605333244394,484,1072,2629,opgave
211,1.0660530590146182,0.7180889861415025,Crime,kriminal_kriminel,1.1049879236573243,235,5484,3694,sker
212,0.4472123368920522,0.5993640699523053,Education,undervis_folkeskole_ungdomsuddan,1.5798405227507044,566,629,843,vælger
213,0.22060218112849692,0.30383673469387756,Economy, økonom_ vækst,1.8803894096409504,71,6125,8436,københavn
214,0.2629077832006165,0.31785714285714284,Taxes,skat,1.7967756167260518,615,6440,7786,boliger
215,0.15726681127982647,0.29389409678236633,Crime,kriminal_kriminel,1.7876495557848422,449,3947,7376,by
217,1.0533472803347281,0.5156169994879672,Employment, beskæftig,1.2262332393727249,1575,1953,956,hænge
218,0.22402597402597402,0.3644366197183099,Health, sundhed,1.8222954029018457,894,568,924,ens
219,1.016985905312613,0.7886771300448431,Education,undervis_folkeskole_ungdomsuddan,0.9471460410368331,387,3568,2767,bedst
221,0.9090909090909091,0.38461538461538464,Social policy,fattig_socialt udsat_socialminis_svageste,1.3889232557696314,4643,78,33,forebyggende
222,0.473109243697479,0.3590561224489796,Culture,kunst _musik_museum_kulturpol,2.0421085231819625,94,4704,3570,blandt
223,0.7334004024144869,0.54,Crime,kriminal_kriminel,1.5576928637655196,1906,2700,1988,brian
224,0.5238095238095238,0.533737680060652,Crime,kriminal_kriminel,1.7659728846201734,2324,1319,1344,mikkelsen
225,0.5571955719557196,0.4748427672955975,Crime,kriminal_kriminel,1.6817176282214208,2187,954,813,nettet
226,0.9859154929577465,0.4268292682926829,Education,undervis_folkeskole_ungdomsuddan,1.3382335271082972,2204,164,71,tidlig
227,0.7210904733373278,0.41138266962912323,Education,undervis_folkeskole_ungdomsuddan,1.9405917705492421,122,11702,6676,dkpol
228,0.9613783918761445,0.5539037022827547,Crime,kriminal_kriminel,1.3397206666429102,167,10426,6007,lov
229,0.4372719618299186,0.6088315748339195,Economy, økonom_ vækst,1.4110442566454016,427,2559,3563,bor
230,4.068319226118501,0.8799529227147901,Social policy,fattig_socialt udsat_socialminis_svageste,0.6139237400289298,351,7647,1654,rammer
231,0.346078431372549,0.42944038929440387,Crime,kriminal_kriminel,1.6707869867841727,557,822,1020,alvorligt
232,0.1746814632141389,0.3441295546558704,Crime,kriminal_kriminel,2.1137345776809298,191,1235,2433,gjort
233,0.4485639686684073,0.38572070049393803,Crime,kriminal_kriminel,2.103669438355303,2453,2227,1915,trine
234,0.2675250357653791,0.3459759481961147,Education,undervis_folkeskole_ungdomsuddan,1.7590786572748538,3326,1081,1398,abort
235,0.8421052631578947,0.7619047619047619,Education,undervis_folkeskole_ungdomsuddan,0.8990668788474019,3607,42,38,mødre
236,0.71875,0.5205715929797641,Immigration,indvandr_flygt_udlænding,1.44633309033619,27,10427,7552,mener
237,0.04228049499116087,0.2521968365553603,Crime,kriminal_kriminel,2.2740430846210615,76,1138,6788,fået
238,0.4702473813238244,0.7440056417489421,Education,undervis_folkeskole_ungdomsuddan,1.0974832064413644,198,2836,4487,haft
240,0.0591887417218543,0.22136222910216719,Immigration,indvandr_flygt_udlænding,2.329921536452116,481,1292,4832,skyld
241,0.7752853207398662,0.7725490196078432,Education,undervis_folkeskole_ungdomsuddan,0.9062885114264445,211,5100,5082,uge
242,1.6583391977480648,0.878799179563677,Education,undervis_folkeskole_ungdomsuddan,0.6501811258686742,3631,5363,2842,meretryghed
243,0.46565774155995343,0.32885722115648125,Social policy,fattig_socialt udsat_socialminis_svageste,2.2196826484185936,2912,3649,2577,manu
244,0.33083645443196,0.2667337695017615,Social policy,fattig_socialt udsat_socialminis_svageste,2.282985102343421,3672,1987,1602,sareen
245,7.23576527947066,0.9851825509720247,Environment, klima_ miljø _ naturen ,0.10356141518805034,364,42180,5743,fremtid
246,0.42117117117117114,0.4651741293532338,Crime,kriminal_kriminel,1.6031520802545418,4948,1206,1332,rygning
247,0.4451333645297145,0.47503121098626716,Religion, religi_ værdipol,1.7393474298044016,6,8010,8548,sammen
248,0.31408450704225355,0.435546875,Employment, beskæftig,1.5689861624698493,854,512,710,hverdag
249,4.59,0.9642857142857143,Education,undervis_folkeskole_ungdomsuddan,0.18294288788532168,1669,476,100,trivsel
250,0.3166869671132765,0.5210420841683366,Science,forskning_ universitet_videregående udd,1.7492362183303658,1024,499,821,ide
251,0.25185735512630014,0.40818783865141484,Crime,kriminal_kriminel,2.045400060755003,273,1661,2692,væk
253,2.625,0.8181818181818182,Education,undervis_folkeskole_ungdomsuddan,0.6870478814426033,6986,77,24,tarv
254,1.1569037656903767,0.6979385780395456,Social policy,fattig_socialt udsat_socialminis_svageste,1.2379571120262152,468,4754,2868,hånd
255,0.11529411764705882,0.22171945701357465,Religion, religi_ værdipol,2.1719673369895434,2833,221,425,synd
256,2.0019691499835903,0.7003846374648373,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.1813622620571642,49,17419,6094,gå
257,1.6790123456790123,0.5738396624472574,Education,undervis_folkeskole_ungdomsuddan,1.0132342739126983,2022,237,81,vokse
259,0.13262910798122066,0.4095686843059079,Economy, økonom_ vækst,1.4715350501660627,98,2759,8520,kommune
260,0.12910092662158779,0.5788882650196518,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.461666844927099,393,1781,7986,kommunen
261,0.23548228346456693,0.3980865224625624,Crime,kriminal_kriminel,1.856427011745168,177,2404,4064,muligt
262,0.07787903893951947,0.4413145539906103,Immigration,indvandr_flygt_udlænding,2.0144773617679324,311,852,4828,slet
263,0.7437336326225215,0.36343692870201094,Foreign affairs,udenrig_ forsvaret _militær,2.073426850786689,2151,10940,5346,grønland
264,3.6666666666666665,0.9565217391304348,Education,undervis_folkeskole_ungdomsuddan,0.22281901118238456,3703,138,36,forældrenes
265,2.5555555555555554,0.8518518518518519,Education,undervis_folkeskole_ungdomsuddan,0.5027922796200783,4719,27,9,forældres
266,0.1800460747829169,0.34675767918088735,Employment, beskæftig,1.9378216746477999,183,2930,5643,svært
267,0.6842105263157895,1.0,Education,undervis_folkeskole_ungdomsuddan,0.0,2087,13,19,hente
268,0.7333333333333333,0.8461538461538461,Education,undervis_folkeskole_ungdomsuddan,0.589280063598296,7323,26,30,mentor
269,1.7,0.9444444444444444,Education,undervis_folkeskole_ungdomsuddan,0.2530673318741798,7898,36,20,ordblinde
270,0.13945086705202311,0.30203442879499215,Culture,kunst _musik_museum_kulturpol,2.1615746547816035,1313,639,1384,m
272,2.566944266495836,0.8576626712328768,Immigration,indvandr_flygt_udlænding,0.6288980742932903,1446,4672,1561,født
273,0.2721669037458511,0.4138428262436914,Culture,kunst _musik_museum_kulturpol,2.1018153685859486,2267,1387,2109,brøndby
274,3.7142857142857144,0.8974619289340101,Economy, økonom_ vækst,0.5133061145197518,671,3940,952,starte
275,1.5365853658536586,0.75,Education,undervis_folkeskole_ungdomsuddan,0.7335738348820978,3371,84,41,svigt
276,0.15789473684210525,0.2608695652173913,Education,undervis_folkeskole_ungdomsuddan,1.6184452810648091,3204,23,38,sunde
277,0.04574838388861263,0.1597222222222222,Foreign affairs,udenrig_ forsvaret _militær,2.4920561741235305,1582,576,2011,farvel
278,0.14524741901032395,0.20178041543026706,Crime,kriminal_kriminel,2.4283550160011877,1739,2022,2809,karen
279,0.546875,0.38379705400981995,Health, sundhed,1.9793246709059558,115,6110,4288,fokus
280,1.2164948453608246,0.6226912928759895,Social policy,fattig_socialt udsat_socialminis_svageste,1.346757908473845,2137,758,388,negative
281,0.9450010222858312,0.8448181319685615,Culture,kunst _musik_museum_kulturpol,0.7713184209267617,428,5471,4891,historie
283,0.0664626147791867,0.2900763358778626,Crime,kriminal_kriminel,2.2062712750968054,652,524,2287,forkert
284,0.19343696027633853,0.2879177377892031,Social policy,fattig_socialt udsat_socialminis_svageste,2.1282000910441665,385,389,579,særligt
285,0.1512420312156518,0.2927659574468085,Taxes,skat,2.341911956534277,1168,2350,4549,ole
286,0.11535199321458864,0.2322801024765158,Taxes,skat,2.4435227606117342,3219,1171,2358,birk
287,0.10590277777777778,0.20333333333333334,Taxes,skat,2.4693120391993335,3162,900,1728,olesen
288,0.18386890827835708,0.298858526461432,Education,undervis_folkeskole_ungdomsuddan,2.0870045483667705,141,2891,4699,lave
289,0.3153846153846154,0.24453280318091453,Health, sundhed,2.175145079412085,316,1006,780,fx
290,4.063157894736842,0.9179548156956004,Environment, klima_ miljø _ naturen ,0.45240685436277794,1421,1682,380,generation
291,0.5834633385335414,0.3596153846153846,Religion, religi_ værdipol,1.6383575016393612,4874,1040,641,omskæring
292,0.5933333333333334,0.4750889679715303,Employment, beskæftig,1.3896417371813974,1104,1124,900,hverdagen
294,0.31452455590386624,0.2244593586875466,Economy, økonom_ vækst,2.08755513028028,3153,1341,957,digital
295,0.19937694704049844,0.6530612244897959,Education,undervis_folkeskole_ungdomsuddan,1.2193243526825541,1813,98,321,kigger
296,1.4444444444444444,0.8666666666666667,Education,undervis_folkeskole_ungdomsuddan,0.39267446722755217,3161,15,9,lege
297,3.0,0.975,Education,undervis_folkeskole_ungdomsuddan,0.11690684913753106,3176,40,13,leg
299,1.125,0.574468085106383,Education,undervis_folkeskole_ungdomsuddan,1.2666515705744126,2329,94,48,svigter
300,0.15991735537190083,0.3249370277078086,Health, sundhed,2.0632221509369217,382,1191,2420,ofte
301,1.1770304568527918,0.4412464319695528,Social policy,fattig_socialt udsat_socialminis_svageste,1.6994277566302232,431,4204,1576,lever
302,0.8426501035196687,0.6132596685082873,Education,undervis_folkeskole_ungdomsuddan,1.6493834153808729,3533,1991,1449,trane
303,0.2313214894134826,0.5276158756591729,Elder care,hjemmehjælp_ ældre _ pension_ plejehjem,1.7918549941974007,31,3603,8218,synes
304,0.024372673790370992,0.19463087248322147,Education,undervis_folkeskole_ungdomsuddan,2.5176733062926697,79,1043,8329,måske
305,0.2271414821944177,0.2852308436064781,EU, EU _ eu,2.1432887688687985,48,4137,5195,samme
307,0.11969380654140571,0.23322033898305083,Education,undervis_folkeskole_ungdomsuddan,2.166197116155139,250,1475,2874,længe
308,0.19963031423290203,0.7152317880794702,Education,undervis_folkeskole_ungdomsuddan,1.1232064331587561,2813,151,541,maven
309,0.4098753595397891,0.34791454730417093,Immigration,indvandr_flygt_udlænding,1.802111615710361,72,4915,4172,selvfølgelig
310,0.7666666666666667,0.6602870813397129,Education,undervis_folkeskole_ungdomsuddan,1.1779230005287142,4067,209,180,fædre
311,0.3440443213296399,0.2813137032842582,Foreign affairs,udenrig_ forsvaret _militær,2.098945897065036,3155,4415,3610,zenia
313,4.0,0.9696969696969697,Education,undervis_folkeskole_ungdomsuddan,0.13579395875159386,4588,33,8,skolegang
314,0.563338301043219,0.5815384615384616,Crime,kriminal_kriminel,1.4918631926760808,577,650,671,oplever
316,1.1549269389284376,0.5955370942812983,Social policy,fattig_socialt udsat_socialminis_svageste,1.5263177504361503,358,10352,5338,samfundet
317,0.9039735099337748,0.525,Education,undervis_folkeskole_ungdomsuddan,1.412169426336057,3461,520,302,pigerne
318,0.6968253968253968,0.5833887043189369,Education,undervis_folkeskole_ungdomsuddan,1.7352509052089058,3436,1505,1260,nørby
319,2.0665688611773336,0.5861028761637281,Social policy,fattig_socialt udsat_socialminis_svageste,1.3905318341386521,107,19227,5453,mest
325,0.10645561762880199,0.37900552486187844,Foreign affairs,udenrig_ forsvaret _militær,1.6865579968875295,2045,905,3222,barsel
326,0.5272727272727272,0.6590909090909091,Education,undervis_folkeskole_ungdomsuddan,1.0161635485519145,4481,44,55,børnefamilierne
327,0.42304203205322044,0.3562515915457092,EU, EU _ eu,1.8479935705114563,4022,3927,3307,hormonforstyrrende
328,3.4346617238183503,0.7255996084189916,Education,undervis_folkeskole_ungdomsuddan,0.7653579116221054,409,20430,4316,dygtige
329,1.0952380952380953,0.7301587301587301,Environment, klima_ miljø _ naturen ,1.0661244270168475,907,189,126,handle
330,0.12574850299401197,0.2727272727272727,Employment, beskæftig,2.2380834187793988,875,77,167,konkret
332,0.21388577827547592,0.4228782287822878,Foreign affairs,udenrig_ forsvaret _militær,2.017392024230292,82,1355,2679,stadig
333,0.472682119205298,0.2833043909699826,Immigration,indvandr_flygt_udlænding,1.9802265535178671,53,8062,4832,ønsker
334,0.0907846090647679,0.3410493827160494,Crime,kriminal_kriminel,2.1523423795376746,103,1944,7303,måde
